"Zipcode","Theta"
"10037",0.0360121962017946
"10065",0.0329547783072875
"10453",0.0397891498215195
"10452",0.0392485021428252
"10451",0.0377304115831134
"10457",0.0390204442398896
"10456",0.034641653955423
"10455",0.0401276776571921
"10454",0.0408127493482651
"10459",0.0476963229314827
"10458",0.0355661298808603
"11232",0.0472403208602324
"11204",0.0388580281847808
"11233",0.0333955315148767
"11385",0.0338437727018456
"11234",0.0325051430451565
"10016",0.0303536527883579
"11222",0.0325151047178818
"11237",0.0401447044986431
"10055",0.0357632748792544
"10282",0.0368621282060622
"10280",0.0339677609492351
"10281",0.0343438106057864
"10119",0.0356273891341052
"10115",0.0358072360462114
"10112",0.0355003610950286
"10111",0.0354569045026591
"11379",0.0325367727880853
"11378",0.0382055412532827
"11375",0.0291002996981096
"11374",0.0355178179847246
"11377",0.0358784075278656
"11101",0.0365322470689812
"11106",0.0358212496060532
"11370",0.0365315736841177
"11373",0.0361418721050426
"11105",0.0343390736411247
"11102",0.0390980916797815
"11103",0.0414112265175402
"10027",0.0418539382331286
"99999",0.0343916376942317
"10028",0.0306222183458642
"10040",0.0397044935509065
"10041",0.0358992014603183
"11228",0.0329326255380699
"10044",0.0348114490564267
"11201",0.0365813510326673
"11203",0.0438741328878089
"10128",0.033365971180146
"11205",0.0253950218591811
"11104",0.0433423431218473
"11207",0.0317678343871422
"11206",0.0458133869989121
"11209",0.0291250870434171
"11208",0.0410612746024134
"11372",0.0434526860622544
"10024",0.0332147544219026
"11224",0.0362799351336514
"11368",0.0399822887366853
"11369",0.0366486202082613
"11366",0.0385159923078741
"10022",0.0361977821945125
"11364",0.0307860560482721
"11365",0.0364675574295451
"11362",0.0353833075432663
"11363",0.0357683900678297
"11360",0.0334734339597048
"11361",0.0319343661923664
"11221",0.0323958155072429
"11220",0.0428544321427167
"11040",0.0343033975473669
"11212",0.0327394494519363
"11213",0.0392503469350351
"11210",0.0304251753775628
"11211",0.0313026558686852
"10039",0.0367063690168267
"11217",0.0287769848487392
"11214",0.0431520194443611
"11215",0.0292188227114297
"10035",0.0338168830050462
"10034",0.0346367798414255
"11218",0.0347056265639304
"10036",0.0334383991326624
"10031",0.0347870893292639
"10030",0.0335389287579763
"10033",0.041228773336776
"10032",0.040260545931698
"11120",0.0356266074682858
"11358",0.0270215123319664
"11005",0.0353705431173876
"11004",0.0361696347468317
"11694",0.0325085035670123
"11357",0.0335588013434607
"11356",0.027581899305747
"11355",0.0370788800796229
"11354",0.0442189440774357
"11216",0.0363506063173129
"10038",0.0327293087909865
"10309",0.0314322954937485
"10308",0.0328232518822566
"10307",0.0346375094263173
"10306",0.0303479714408985
"10305",0.0338394806677089
"10304",0.0386055032157849
"10303",0.0352130476365927
"10302",0.0327217981655499
"10301",0.0314478758358118
"11229",0.0464940978469169
"10029",0.0385174601451543
"10026",0.0378946564499235
"11226",0.0419061724259406
"11225",0.0358775371284983
"10025",0.0324474508858726
"11223",0.0363218297451736
"10023",0.0313754743510278
"10020",0.0337856337077833
"10021",0.0338234734097105
"11429",0.0353682503542081
"11219",0.0370646844993688
"11230",0.0430736749725256
"11428",0.0343672590625040
"11421",0.0374144448270231
"11420",0.0421502698395295
"11423",0.0346565037836558
"11422",0.0382258839993867
"11427",0.0364626579005983
"11426",0.0347116583060190
"10310",0.030430913389471
"10312",0.0333544686619050
"10314",0.0366924600452704
"11231",0.0312219077334526
"98124",0.0356062620236913
"11238",0.0378759610935994
"11239",0.0353553543068925
"10019",0.0351058522372712
"10018",0.0394595122881673
"10013",0.0502744441041848
"10012",0.0307861209363923
"10011",0.0292918657158429
"10010",0.0275074190961761
"10017",0.0334700466772962
"11235",0.0333319359290615
"11236",0.0332328092400166
"10014",0.0280266023275868
"11439",0.0358741611299552
"11432",0.0442145391504919
"11433",0.0378593157165598
"11430",0.0336816962431241
"11436",0.0358903808008975
"11434",0.0330898020978388
"11435",0.0390343390364569
"10004",0.0306684088850553
"10005",0.0327395083259332
"10006",0.0312249728921081
"10007",0.0387083206715643
"10001",0.0355419484699550
"10002",0.0502323991888799
"10003",0.0323667930183913
"11692",0.0391452672493765
"10009",0.0329212580512828
"11693",0.0352816578101362
"10475",0.0377026421787391
"10474",0.0322124049217478
"10471",0.0344003164823878
"10470",0.0403314331417218
"10473",0.0373962186347394
"10472",0.0463009512328609
"11691",0.0378464593834481
"11245",0.0368449101341198
"10080",0.0357948844396595
"11371",0.0355620547088854
"10075",0.0324538336331304
"10174",0.0356902857639182
"10466",0.0408970034689784
"10467",0.0362085623053704
"10464",0.0356999968003837
"10465",0.0365581246388489
"10462",0.0282128028118268
"10463",0.0327236781573198
"10460",0.0332771709606024
"10461",0.0288842498371469
"10468",0.0347953569929454
"10469",0.0309159071178087
"11411",0.0342314926510625
"11412",0.037991993564077
"11413",0.0356160229731013
"11414",0.0331819536897391
"11415",0.0326981319721490
"11416",0.0402137275975987
"11417",0.0360475273641835
"11418",0.0293304644211597
"11419",0.0383742655693093
"11367",0.038947893524317
"11453",0.0354099780817355
